id,model_name,Mean_Relative_Accuracy (%)
005613,ensemble100percent,71.43196485606735
005614,ensemble75percent,70.18451455676296
005615,dropconnect100percent,70.12281724679436
005616,dropconnect75percent,69.6459901350494
005617,flipout75percent,69.12679062818736
005618,ensemble50percent,68.554410394452
005619,dropconnect50percent,68.49073564150771
005620,flipout100percent,68.30888252376204
005621,ensemble25percent,67.22634769626355
005622,dropconnect25percent,66.51312935902205
005623,flipout50percent,66.37621041602544
005624,ensemble10percent,65.62184324805347
005625,dropconnect10percent,65.41411633476056
005626,flipout25percent,64.35380507904975
005627,ensemble5percent,64.15241669183982
005628,dropconnect5percent,63.64395158320875
005629,flipout10percent,61.45722667380213
005630,dropconnect1percent,61.41793862828018
005631,ensemble1percent,61.4115841925535
005632,flipout5percent,53.21636405730492
005633,flipout1percent,7.381553661376327
